word,political_count,nonpolitical_count,ratio,total_count,political_frequency_%,nonpolitical_frequency_%
তৃণমূল,69,0,69.0,69,6.71,0.0
amp,49,0,49.0,49,4.76,0.0
বিজেপি,32,0,32.0,32,3.11,0.0
amanda,30,0,30.0,30,2.92,0.0
তৃণমূলের,29,0,29.0,29,2.82,0.0
কুচুটে,25,0,25.0,25,2.43,0.0
মমতা,24,0,24.0,24,2.33,0.0
জেলে,20,0,20.0,20,1.94,0.0
দুর্নীতি,19,0,19.0,19,1.85,0.0
পিসির,18,0,18.0,18,1.75,0.0
পার্থ,17,0,17.0,17,1.65,0.0
দিদির,16,0,16.0,16,1.55,0.0
পিসি,32,1,16.0,33,3.11,0.05
ভাইপো,15,0,15.0,15,1.46,0.0
উনি,15,0,15.0,15,1.46,0.0
বর্ষসেরা,15,0,15.0,15,1.46,0.0
উন্নয়ন,15,0,15.0,15,1.46,0.0
দিদি,14,0,14.0,14,1.36,0.0
বিজেপির,14,0,14.0,14,1.36,0.0
ফের,13,0,13.0,13,1.26,0.0
অনুব্রত,12,0,12.0,12,1.17,0.0
মোদী,12,0,12.0,12,1.17,0.0
কয়লা,12,0,12.0,12,1.17,0.0
paralleluniverse,12,0,12.0,12,1.17,0.0
পঞ্চায়েত,11,0,11.0,11,1.07,0.0
রাজনীতি,11,0,11.0,11,1.07,0.0
বন্দ্যোপাধ্যায়,11,0,11.0,11,1.07,0.0
bop,11,0,11.0,11,1.07,0.0
তিনু,11,0,11.0,11,1.07,0.0
কুচুঢে,11,0,11.0,11,1.07,0.0
ক্ষমতায়,11,0,11.0,11,1.07,0.0
বললেন,11,0,11.0,11,1.07,0.0
জনগণ,11,0,11.0,11,1.07,0.0
নেতা,32,2,10.666666666666666,34,3.11,0.09
কুঁচুটে,10,0,10.0,10,0.97,0.0
রাজ্য,10,0,10.0,10,0.97,0.0
nerves,10,0,10.0,10,0.97,0.0
জেল,10,0,10.0,10,0.97,0.0
anwartvnews,10,0,10.0,10,0.97,0.0
nap,10,0,10.0,10,0.97,0.0
ভোটের,10,0,10.0,10,0.97,0.0
এরা,9,0,9.0,9,0.87,0.0
posted,9,0,9.0,9,0.87,0.0
অভিষেক,9,0,9.0,9,0.87,0.0
মোদীজি,9,0,9.0,9,0.87,0.0
martha,9,0,9.0,9,0.87,0.0
আন্দোলন,9,0,9.0,9,0.87,0.0
জনতা,9,0,9.0,9,0.87,0.0
ছাত্রলীগ,9,0,9.0,9,0.87,0.0
বিনোদ,9,0,9.0,9,0.87,0.0
মুখ্যমন্ত্রী,9,0,9.0,9,0.87,0.0
মমতার,9,0,9.0,9,0.87,0.0
মন্ত্রী,9,0,9.0,9,0.87,0.0
বিক্ষোভ,9,0,9.0,9,0.87,0.0
আওয়ামী,18,1,9.0,19,1.75,0.05
দূত,9,0,9.0,9,0.87,0.0
chattered,8,0,8.0,8,0.78,0.0
chute,8,0,8.0,8,0.78,0.0
মশাই,8,0,8.0,8,0.78,0.0
ডাইপো,8,0,8.0,8,0.78,0.0
কলকাতা,8,0,8.0,8,0.78,0.0
ভোটে,8,0,8.0,8,0.78,0.0
অধিকার,8,0,8.0,8,0.78,0.0
হাসিনার,8,0,8.0,8,0.78,0.0
বড়ো,8,0,8.0,8,0.78,0.0
banerjee,8,0,8.0,8,0.78,0.0
প্রার্থী,8,0,8.0,8,0.78,0.0
নির্বাচনে,8,0,8.0,8,0.78,0.0
ফ্যাসিবাদী,8,0,8.0,8,0.78,0.0
রাজনৈতিকট্রল,8,0,8.0,8,0.78,0.0
sharechat,7,0,7.0,7,0.68,0.0
আনন্দবাজার,7,0,7.0,7,0.68,0.0
রাষ্ট্র,7,0,7.0,7,0.68,0.0
tet,7,0,7.0,7,0.68,0.0
বামপন্থী,7,0,7.0,7,0.68,0.0
national,7,0,7.0,7,0.68,0.0
কংগ্রেস,7,0,7.0,7,0.68,0.0
নির্বাচনের,7,0,7.0,7,0.68,0.0
মিছিল,7,0,7.0,7,0.68,0.0
election,7,0,7.0,7,0.68,0.0
বালি,7,0,7.0,7,0.68,0.0
miles,7,0,7.0,7,0.68,0.0
paprika,7,0,7.0,7,0.68,0.0
anandabazar,7,0,7.0,7,0.68,0.0
শেখ,20,2,6.666666666666667,22,1.94,0.09
রাজনৈতিক,13,1,6.5,14,1.26,0.05
চাকরি,31,4,6.2,35,3.01,0.19
এদের,6,0,6.0,6,0.58,0.0
সম্পত্তি,6,0,6.0,6,0.58,0.0
ইডি,6,0,6.0,6,0.58,0.0
ব্রিজ,6,0,6.0,6,0.58,0.0
west,6,0,6.0,6,0.58,0.0
মানিক,6,0,6.0,6,0.58,0.0
জামিন,6,0,6.0,6,0.58,0.0
তৃগমূল,6,0,6.0,6,0.58,0.0
ঘোষ,6,0,6.0,6,0.58,0.0
কুনাল,6,0,6.0,6,0.58,0.0
mamatabanerjee,6,0,6.0,6,0.58,0.0
চলছে,6,0,6.0,6,0.58,0.0
বেড়াল,6,0,6.0,6,0.58,0.0
পত্রিকা,6,0,6.0,6,0.58,0.0
কেবল,6,0,6.0,6,0.58,0.0
magmata,6,0,6.0,6,0.58,0.0
news,12,1,6.0,13,1.17,0.05
মোদীর,6,0,6.0,6,0.58,0.0
জুলাই,6,0,6.0,6,0.58,0.0
মন্তব্য,6,0,6.0,6,0.58,0.0
চালু,6,0,6.0,6,0.58,0.0
লীগ,11,1,5.5,12,1.07,0.05
হাসিনা,11,1,5.5,12,1.07,0.05
বিরুদ্ধে,11,1,5.5,12,1.07,0.05
কোটি,16,2,5.333333333333333,18,1.55,0.09
live,16,2,5.333333333333333,18,1.55,0.09
দাবি,16,2,5.333333333333333,18,1.55,0.09
রাজ্যে,5,0,5.0,5,0.49,0.0
কর্মীদের,5,0,5.0,5,0.49,0.0
প্রচারে,5,0,5.0,5,0.49,0.0
কৃষকদের,5,0,5.0,5,0.49,0.0
সিপেম,5,0,5.0,5,0.49,0.0
দেবেন,5,0,5.0,5,0.49,0.0
গণতন্ত্র,5,0,5.0,5,0.49,0.0
মুখ্যমন্ত্রীর,5,0,5.0,5,0.49,0.0
দেখুন,5,0,5.0,5,0.49,0.0
পিএম,5,0,5.0,5,0.49,0.0
বিএনপি,10,1,5.0,11,0.97,0.05
dailyhunt,5,0,5.0,5,0.49,0.0
অ্যাকাউন্টে,5,0,5.0,5,0.49,0.0
আহত,5,0,5.0,5,0.49,0.0
অভিষেকের,5,0,5.0,5,0.49,0.0
sammy,5,0,5.0,5,0.49,0.0
মানা,5,0,5.0,5,0.49,0.0
প্রতিবাদ,5,0,5.0,5,0.49,0.0
মামলায়,5,0,5.0,5,0.49,0.0
মোদীজির,5,0,5.0,5,0.49,0.0
নেতাদের,5,0,5.0,5,0.49,0.0
পূর্ব,5,0,5.0,5,0.49,0.0
jamaal,5,0,5.0,5,0.49,0.0
anwartv,5,0,5.0,5,0.49,0.0
প্রেসিডেন্সি,5,0,5.0,5,0.49,0.0
সতর্ক,5,0,5.0,5,0.49,0.0
মোদি,5,0,5.0,5,0.49,0.0
শ্রী,5,0,5.0,5,0.49,0.0
স্লোগান,5,0,5.0,5,0.49,0.0
পশ্চিমবঙ্গ,5,0,5.0,5,0.49,0.0
armpit,5,0,5.0,5,0.49,0.0
হুমকি,5,0,5.0,5,0.49,0.0
টেট,5,0,5.0,5,0.49,0.0
আনন্দ,10,1,5.0,11,0.97,0.05
নেত্রী,5,0,5.0,5,0.49,0.0
breaking,5,0,5.0,5,0.49,0.0
বলেছেন,5,0,5.0,5,0.49,0.0
নেতাজি,5,0,5.0,5,0.49,0.0
লিট,5,0,5.0,5,0.49,0.0
নিয়োগ,10,1,5.0,11,0.97,0.05
kolkata,5,0,5.0,5,0.49,0.0
রাম,5,0,5.0,5,0.49,0.0
কুন্তল,5,0,5.0,5,0.49,0.0
রাজ্যের,5,0,5.0,5,0.49,0.0
পৌঁছে,5,0,5.0,5,0.49,0.0
isles,5,0,5.0,5,0.49,0.0
আক্রান্ত,5,0,5.0,5,0.49,0.0
চাড্ডি,5,0,5.0,5,0.49,0.0
award,5,0,5.0,5,0.49,0.0
ভারতে,5,0,5.0,5,0.49,0.0
হাইলি,5,0,5.0,5,0.49,0.0
গ্রেফতার,10,1,5.0,11,0.97,0.05
zee,5,0,5.0,5,0.49,0.0
লড়াই,5,0,5.0,5,0.49,0.0
মুসলিম,5,0,5.0,5,0.49,0.0
বিরোধী,5,0,5.0,5,0.49,0.0
দুর্নীতির,5,0,5.0,5,0.49,0.0
সামলাই,5,0,5.0,5,0.49,0.0
পার্থর,5,0,5.0,5,0.49,0.0
শিক্ষামন্ত্রী,5,0,5.0,5,0.49,0.0
নয়া,5,0,5.0,5,0.49,0.0
পাটি,5,0,5.0,5,0.49,0.0
করলেন,5,0,5.0,5,0.49,0.0
আচ্ছে,5,0,5.0,5,0.49,0.0
এলে,5,0,5.0,5,0.49,0.0
বরিশাল,5,0,5.0,5,0.49,0.0
ভোট,28,5,4.666666666666667,33,2.72,0.23
tic,14,2,4.666666666666667,16,1.36,0.09
নির্বাচন,14,2,4.666666666666667,16,1.36,0.09
comes,9,1,4.5,10,0.87,0.05
play,13,2,4.333333333333333,15,1.26,0.09
meanwhile,13,2,4.333333333333333,15,1.26,0.09
পুলিশ,13,2,4.333333333333333,15,1.26,0.09
সরকারি,17,3,4.25,20,1.65,0.14
সাম্মানিক,4,0,4.0,4,0.39,0.0
লাদেশ,4,0,4.0,4,0.39,0.0
বঙ্গবন্ধু,4,0,4.0,4,0.39,0.0
jamunatvbd,4,0,4.0,4,0.39,0.0
হাসনাত,4,0,4.0,4,0.39,0.0
jamunatelevision,4,0,4.0,4,0.39,0.0
এনসিপি,4,0,4.0,4,0.39,0.0
লীগের,4,0,4.0,4,0.39,0.0
আদালতে,4,0,4.0,4,0.39,0.0
মানিকের,4,0,4.0,4,0.39,0.0
তথ্য,4,0,4.0,4,0.39,0.0
পরম,4,0,4.0,4,0.39,0.0
যীশু,4,0,4.0,4,0.39,0.0
political,4,0,4.0,4,0.39,0.0
দলে,8,1,4.0,9,0.78,0.05
পুঁজিবাদী,4,0,4.0,4,0.39,0.0
মন্ত্রীরা,4,0,4.0,4,0.39,0.0
মধ্যবিত্ত,4,0,4.0,4,0.39,0.0
কর্মী,4,0,4.0,4,0.39,0.0
সিবিআই,4,0,4.0,4,0.39,0.0
চক্রান্ত,4,0,4.0,4,0.39,0.0
বেশ,4,0,4.0,4,0.39,0.0
শিল্প,4,0,4.0,4,0.39,0.0
গণতন্ত্রের,4,0,4.0,4,0.39,0.0
সম্ভব,4,0,4.0,4,0.39,0.0
ভট্টাচার্য,4,0,4.0,4,0.39,0.0
কুণাল,4,0,4.0,4,0.39,0.0
আবাস,4,0,4.0,4,0.39,0.0
কোট,4,0,4.0,4,0.39,0.0
বাঁচতে,4,0,4.0,4,0.39,0.0
জেলের,4,0,4.0,4,0.39,0.0
যোগ,4,0,4.0,4,0.39,0.0
মানুষদের,4,0,4.0,4,0.39,0.0
মাস্টার,4,0,4.0,4,0.39,0.0
সিপিআইএম,4,0,4.0,4,0.39,0.0
দায়,8,1,4.0,9,0.78,0.05
ক্ষমতা,4,0,4.0,4,0.39,0.0
